image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/34022970.jpg||100.00%|3.00
https://images.ygoprodeck.com/images/cards/35844557.jpg||100.00%|3.00
https://images.ygoprodeck.com/images/cards/8633261.jpg||100.00%|2.96
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.28
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|100.00%|2.00
https://images.ygoprodeck.com/images/cards/6798031.jpg|Ryzeal Cross|100.00%|1.80
https://images.ygoprodeck.com/images/cards/85106525.jpg|Bonfire|100.00%|1.30
https://images.ygoprodeck.com/images/cards/72238166.jpg||100.00%|1.04
https://images.ygoprodeck.com/images/cards/7477101.jpg||97.80%|2.89
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|97.80%|1.00
https://images.ygoprodeck.com/images/cards/60394026.jpg||93.50%|1.02
https://images.ygoprodeck.com/images/cards/42141493.jpg||87.00%|2.67
https://images.ygoprodeck.com/images/cards/35261759.jpg|Pot of Desires|84.80%|1.85
https://images.ygoprodeck.com/images/cards/33787730.jpg||80.40%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|73.90%|2.35
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|56.50%|2.50
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|54.30%|1.60
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|43.50%|1.55
https://images.ygoprodeck.com/images/cards/84211599.jpg|Pot of Prosperity|32.60%|1.00
https://images.ygoprodeck.com/images/cards/23516703.jpg|Summon Limit|28.30%|1.00
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|19.60%|1.56
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|17.40%|1.88
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|17.40%|1.00
https://images.ygoprodeck.com/images/cards/84192580.jpg|Mulcharmy Purulia|13.00%|1.83
https://images.ygoprodeck.com/images/cards/23153227.jpg|Seventh Ascension|13.00%|1.67
https://images.ygoprodeck.com/images/cards/67972302.jpg|Sakitama|13.00%|1.67
https://images.ygoprodeck.com/images/cards/40605147.jpg|Solemn Strike|10.90%|2.40
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|8.70%|2.50
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|6.50%|1.00
https://images.ygoprodeck.com/images/cards/2263869.jpg|Ultimate Slayer|4.30%|2.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|2.20%|2.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|2.20%|1.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|2.20%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|2.20%|1.00
https://images.ygoprodeck.com/images/cards/99937011.jpg|Mudora the Sword Oracle|2.20%|1.00
https://images.ygoprodeck.com/images/cards/16889337.jpg|Aratama|2.20%|1.00
