image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/83827392.jpg|Expurrely Noir|88.90%|2.00
https://images.ygoprodeck.com/images/cards/52645235.jpg|Epurrely Happiness|88.90%|2.00
https://images.ygoprodeck.com/images/cards/98049934.jpg|Epurrely Beauty|88.90%|1.50
https://images.ygoprodeck.com/images/cards/24434049.jpg|Epurrely Plump|88.90%|1.25
https://images.ygoprodeck.com/images/cards/94259633.jpg|Relinquished Anima|88.90%|1.00
https://images.ygoprodeck.com/images/cards/72167543.jpg|Downerd Magician|88.90%|1.00
https://images.ygoprodeck.com/images/cards/90448279.jpg|Divine Arsenal AA-ZEUS - Sky Thunder|77.80%|1.14
https://images.ygoprodeck.com/images/cards/62592805.jpg|Epurrely Noir|66.70%|1.00
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|55.60%|1.00
https://images.ygoprodeck.com/images/cards/58058134.jpg|Slacker Magician|44.40%|1.00
https://images.ygoprodeck.com/images/cards/98462037.jpg|Sky Striker Ace - Azalea|44.40%|1.00
https://images.ygoprodeck.com/images/cards/72971064.jpg|Lyrilusc - Ensemblue Robin|44.40%|1.00
https://images.ygoprodeck.com/images/cards/93039339.jpg|Super Starslayer TY-PHON - Sky Crisis|33.30%|1.00
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|33.30%|1.00
https://images.ygoprodeck.com/images/cards/4280258.jpg|Apollousa, Bow of the Goddess|33.30%|1.00
https://images.ygoprodeck.com/images/cards/71607202.jpg|Muckraker From the Underworld|22.20%|1.00
https://images.ygoprodeck.com/images/cards/48608796.jpg|Lyrilusc - Assembled Nightingale|22.20%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|22.20%|1.00
https://images.ygoprodeck.com/images/cards/8728498.jpg|Donner, Dagger Fur Hire|22.20%|1.00
https://images.ygoprodeck.com/images/cards/49202162.jpg|Black Luster Soldier - Soldier of Chaos|22.20%|1.00
https://images.ygoprodeck.com/images/cards/71791814.jpg|Magical Musketeer Max|11.10%|2.00
https://images.ygoprodeck.com/images/cards/33909817.jpg|Sylvan Princessprite|11.10%|1.00
https://images.ygoprodeck.com/images/cards/9839945.jpg|Lyna the Light Charmer, Lustrous|11.10%|1.00
https://images.ygoprodeck.com/images/cards/24842059.jpg|Linguriboh|11.10%|1.00
https://images.ygoprodeck.com/images/cards/65330383.jpg|Knightmare Gryphon|11.10%|1.00
https://images.ygoprodeck.com/images/cards/39552584.jpg|Grapha, Dragon Overlord of Dark World|11.10%|1.00
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|11.10%|1.00
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|11.10%|1.00
https://images.ygoprodeck.com/images/cards/46640168.jpg|Fiendsmith's Lacrima|11.10%|1.00
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|11.10%|1.00
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|11.10%|1.00
https://images.ygoprodeck.com/images/cards/35306215.jpg|Condemned Darklord|11.10%|1.00
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|11.10%|1.00
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|11.10%|1.00
