imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/31786629.jpg|Thunder Dragon|1.0|3.0
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|1.0|3.0
https://images.ygoprodeck.com/images/cards/32731036.jpg|The Bystial Lubellion|1.0|3.0
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|1.0|3.0
https://images.ygoprodeck.com/images/cards/70711847.jpg|Danger! Nessie!|1.0|3.0
https://images.ygoprodeck.com/images/cards/99266988.jpg|Chaos Space|1.0|3.0
https://images.ygoprodeck.com/images/cards/60242223.jpg|Bystial Saronir|1.0|3.0
https://images.ygoprodeck.com/images/cards/48800175.jpg|The Melody of Awakening Dragon|1.0|3.0
https://images.ygoprodeck.com/images/cards/44586426.jpg|Batteryman Solar|1.0|3.0
https://images.ygoprodeck.com/images/cards/1475311.jpg|Allure of Darkness|1.0|3.0
https://images.ygoprodeck.com/images/cards/55878038.jpg|Chaos Dragon Levianeer|1.0|2.0
https://images.ygoprodeck.com/images/cards/50383626.jpg|Darkest Diabolos, Lord of the Lair|1.0|1.0
https://images.ygoprodeck.com/images/cards/99745551.jpg|Danger!? Tsuchinoko?|1.0|1.0
https://images.ygoprodeck.com/images/cards/83107873.jpg|Thunder Dragonhawk|1.0|1.0
https://images.ygoprodeck.com/images/cards/34090915.jpg|Branded Regained|1.0|1.0
https://images.ygoprodeck.com/images/cards/29596581.jpg|Thunder Dragonroar|1.0|1.0
https://images.ygoprodeck.com/images/cards/15381421.jpg|Starliege Seyfert|1.0|1.0
https://images.ygoprodeck.com/images/cards/43694650.jpg|Danger!? Jackalope?|1.0|1.0
https://images.ygoprodeck.com/images/cards/4538826.jpg|Chaos Emperor, the Dragon of Armageddon|1.0|1.0
https://images.ygoprodeck.com/images/cards/56713174.jpg|Thunder Dragondark|1.0|1.0
https://images.ygoprodeck.com/images/cards/32756828.jpg|Branded Beast|1.0|1.0
https://images.ygoprodeck.com/images/cards/99234526.jpg|White Dragon Wyverburster|1.0|1.0
https://images.ygoprodeck.com/images/cards/61901281.jpg|Black Dragon Collapserpent|1.0|1.0
https://images.ygoprodeck.com/images/cards/8972398.jpg|Omni Dragon Brotaur|1.0|1.0
