imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/77075360.jpg|Junk Speeder|1.0|1.0
https://images.ygoprodeck.com/images/cards/84815190.jpg|Baronne de Fleur|1.0|1.0
https://images.ygoprodeck.com/images/cards/30983281.jpg|Accel Synchro Stardust Dragon|1.0|1.0
https://images.ygoprodeck.com/images/cards/27572350.jpg|Bystial Dis Pater|1.0|1.0
https://images.ygoprodeck.com/images/cards/25472513.jpg|Celestial Double Star Shaman|0.5|1.0
https://images.ygoprodeck.com/images/cards/37675907.jpg|Accel Synchron|0.5|1.0
https://images.ygoprodeck.com/images/cards/21915012.jpg|Cupid Pitch|0.5|1.0
https://images.ygoprodeck.com/images/cards/46057733.jpg|Shamisen Samsara Sorrowcat|0.5|1.0
https://images.ygoprodeck.com/images/cards/63436931.jpg|Crimson Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/80666118.jpg|Scarlight Red Dragon Archfiend|0.5|1.0
https://images.ygoprodeck.com/images/cards/22850702.jpg|Chaos Angel|0.5|1.0
https://images.ygoprodeck.com/images/cards/64880894.jpg|Stardust Charge Warrior|0.5|1.0
https://images.ygoprodeck.com/images/cards/52687916.jpg|Trishula, Dragon of the Ice Barrier|0.5|1.0
https://images.ygoprodeck.com/images/cards/81846453.jpg|Martial Metal Marcher|0.5|1.0
https://images.ygoprodeck.com/images/cards/286392.jpg|Jet Warrior|0.5|1.0
https://images.ygoprodeck.com/images/cards/44508095.jpg|Stardust Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/74586817.jpg|PSY-Framelord Omega|0.5|1.0
https://images.ygoprodeck.com/images/cards/21368273.jpg|Mannadium Trisukta|0.5|1.0
https://images.ygoprodeck.com/images/cards/7841112.jpg|Majestic Star Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/40939228.jpg|Shooting Majestic Star Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/68431965.jpg|Shooting Riser Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/33698022.jpg|Black Rose Moonlight Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/90953320.jpg|T.G. Hyper Librarian|0.5|1.0
https://images.ygoprodeck.com/images/cards/3040496.jpg|Chaos Ruler, the Chaotic Magical Dragon|0.5|1.0
https://images.ygoprodeck.com/images/cards/82044279.jpg|Clear Wing Synchro Dragon|0.5|1.0
