imgSource|name|% of decks|count
https://images.ygoprodeck.com/images/cards/69946549.jpg|Predaplant Dragostapelia|1.0|1.0
https://images.ygoprodeck.com/images/cards/28226490.jpg|Tearlaments Kaleido-Heart|1.0|1.0
https://images.ygoprodeck.com/images/cards/11765832.jpg|Garura, Wings of Resonant Life|1.0|1.0
https://images.ygoprodeck.com/images/cards/72329844.jpg|Spright Sprind|1.0|1.0
https://images.ygoprodeck.com/images/cards/27552504.jpg|Beatrice, Lady of the Eternal|1.0|1.0
https://images.ygoprodeck.com/images/cards/54757758.jpg|Mudragon of the Swamp|1.0|1.0
https://images.ygoprodeck.com/images/cards/30757127.jpg|Destiny HERO - Dangerous|0.667|1.0
https://images.ygoprodeck.com/images/cards/73082255.jpg|The Zombie Vampire|0.667|1.0
https://images.ygoprodeck.com/images/cards/29301450.jpg|S:P Little Knight|0.667|1.0
https://images.ygoprodeck.com/images/cards/94977270.jpg|El Shaddoll Winda|0.667|1.0
https://images.ygoprodeck.com/images/cards/11321089.jpg|Guardian Chimera|0.333|1.0
https://images.ygoprodeck.com/images/cards/93860227.jpg|Necroquip Princess|0.333|1.0
https://images.ygoprodeck.com/images/cards/13117073.jpg|Barricadeborg Blocker|0.333|1.0
https://images.ygoprodeck.com/images/cards/46640168.jpg|Fiendsmith's Lacrima|0.333|1.0
https://images.ygoprodeck.com/images/cards/8264361.jpg|Dharc the Dark Charmer, Gloomy|0.333|1.0
https://images.ygoprodeck.com/images/cards/2463794.jpg|Fiendsmith's Requiem|0.333|1.0
https://images.ygoprodeck.com/images/cards/22110647.jpg|Mecha Phantom Beast Dracossack|0.333|1.0
https://images.ygoprodeck.com/images/cards/71818935.jpg|Moon of the Closed Heaven|0.333|1.0
https://images.ygoprodeck.com/images/cards/98127546.jpg|Underworld Goddess of the Closed World|0.333|1.0
https://images.ygoprodeck.com/images/cards/84330567.jpg|Tearlaments Rulkallos|0.333|1.0
https://images.ygoprodeck.com/images/cards/39552584.jpg|Grapha, Dragon Overlord of Dark World|0.333|1.0
https://images.ygoprodeck.com/images/cards/49867899.jpg|Fiendsmith's Sequence|0.333|1.0
https://images.ygoprodeck.com/images/cards/55285840.jpg|Time Thief Redoer|0.333|1.0
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|0.333|1.0
https://images.ygoprodeck.com/images/cards/79559912.jpg|D/D/D Wave High King Caesar|0.333|1.0
https://images.ygoprodeck.com/images/cards/58699500.jpg|Cherubini, Ebon Angel of the Burning Abyss|0.333|1.0
https://images.ygoprodeck.com/images/cards/440556.jpg|Bahamut Shark|0.333|1.0
https://images.ygoprodeck.com/images/cards/90809975.jpg|Toadally Awesome|0.333|1.0
https://images.ygoprodeck.com/images/cards/82135803.jpg|Fiendsmith's Desirae|0.333|1.0
